"team","wins","losses","goals","total_yel_card","total_red_card","total_scoring_att","ontarget_scoring_att","hit_woodwork","att_hd_goal","att_pen_goal","att_freekick_goal","att_ibox_goal","att_obox_goal","goal_fastbreak","total_offside","clean_sheet","goals_conceded","saves","outfielder_block","interception","total_tackle","last_man_tackle","total_clearance","head_clearance","own_goals","penalty_conceded","pen_goals_conceded","total_pass","total_through_ball","total_long_balls","backward_pass","total_cross","corner_taken","touches","big_chance_missed","clearance_off_line","dispossessed","penalty_save","total_high_claim","punches","season","total_games","manager"
"Manchester United",28,5,83,60,1,698,256,21,12,5,1,72,11,9,80,16,27,2,81,254,890,1,1222,NA,1,5,3,18723,NA,2397,NA,918,258,25686,NA,1,NA,2,37,25,"2006-2007",38,"Alex Ferguson"
"Manchester United",27,5,80,51,2,696,260,16,12,6,6,64,16,7,100,21,22,2,96,446,978,2,2022,1140,0,1,1,17422,90,2417,NA,936,261,26620,NA,10,627,0,47,23,"2007-2008",38,"Alex Ferguson"
"Manchester United",28,4,68,61,5,715,230,9,7,4,4,56,12,12,99,24,24,NA,120,640,741,8,1322,716,1,3,3,19416,291,2192,NA,1039,257,30077,NA,3,579,0,56,22,"2008-2009",38,"Alex Ferguson"
"Manchester United",27,7,86,49,4,695,221,12,14,6,3,77,9,6,85,19,28,0,100,602,828,13,983,584,0,2,2,19318,243,2205,NA,1156,297,28968,NA,2,622,0,65,18,"2009-2010",38,"Alex Ferguson"
"Manchester United",23,4,78,56,3,618,212,15,18,3,1,71,7,5,102,15,37,0,107,646,693,17,1053,634,1,6,5,18870,212,2279,2411,1005,243,26671,50,2,471,0,45,16,"2010-2011",38,"Alex Ferguson"
"Manchester United",28,5,89,51,1,646,243,17,16,9,2,74,15,2,89,20,33,0,138,574,803,6,1165,749,2,3,2,20184,103,2189,2765,1018,279,28113,64,3,521,1,37,26,"2011-2012",38,"Alex Ferguson"
"Manchester United",28,5,86,57,1,561,213,24,14,4,1,77,9,2,96,13,43,1,143,514,731,4,1319,848,4,0,0,19696,103,1973,2727,962,218,27264,65,5,506,0,38,28,"2012-2013",38,"Alex Ferguson"
"Manchester United",19,12,64,66,3,526,183,16,10,5,5,53,11,1,97,13,43,103,108,595,676,4,1382,856,1,4,3,18894,61,2077,2898,1000,216,27367,38,1,491,0,32,14,"2013-2014",38,"David Moyes"
"Manchester United",20,8,62,64,5,512,180,11,12,3,2,55,7,2,87,11,37,100,96,679,739,4,1118,638,1,4,3,21311,89,2969,3457,908,214,29044,43,5,393,1,33,7,"2014-2015",38,"Louis van Gaal"
"Manchester United",19,10,49,65,1,430,144,9,5,3,1,44,5,2,75,18,35,90,96,594,760,4,755,373,2,2,2,20070,43,2649,3221,786,228,27542,28,4,522,0,29,13,"2015-2016",38,"Louis van Gaal"
"Manchester United",18,5,54,78,2,591,210,19,9,3,1,47,7,5,99,17,29,85,99,584,690,4,1112,580,1,5,4,20245,99,2424,3177,848,217,28119,50,1,389,1,32,4,"2016-2017",38,"Jose Mourinho"
"Manchester United",25,7,68,64,1,512,178,16,12,1,2,56,13,4,88,19,28,118,112,481,564,0,853,436,2,1,1,20064,85,2308,2878,753,220,27525,42,4,399,0,20,6,"2017-2018",38,"Jose Mourinho"
